© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Workspace	My Projects
Project	AlexC
Analysis	MockvVirus_DEP - 2020-10-08 04:50 PM
Date	Wed Oct 07 22:44:01 PDT 2020
Analysis ID	19812273

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.267 and up regulated 0.267
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
monocrotaline	chemical toxicant	 	3	 	 	0.000	2.99E-05	1.23E-02	AR,ARRB1,ATF6,CEBPB,EGFR,ERK1/2,ESR1,GATA1,GSK3B,HIF1A,LEP,MAPK1,MKNK1,monocrotaline,MYC,NFAT5,NR1I3,P38 MAPK,p70 S6k,PDGFRB,PGR,PPARA,PPARGC1A,RAF1,RB1,RELA,SP1,tamoxifen,TCF3,TH	ATP6V1F,CASP3,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,DFFA,DYNLT1,EIF3D,ENAH,EPS15,HMGCL,HSPA2,IFT140,IPO5,KYAT3,MANF,MECP2,NIT1,NUCKS1,NUDT21,OAS2,PABPC4,PCMT1,PLS1,PML,RANBP2,S100A6,SH3GLB1,SNRPD1	30 (30)	27	 	 	 	BIRC5	ID1,let-7a-5p (and other miRNAs w/seed GAGGUAG),mir-21	 	 	 	 	
PARVB	other	 	3	 	 	-0.192	3.03E-05	1.27E-02	APP,AR,CEBPB,CHUK,CTNNB1,E2F1,GSK3B,HSF1,ILK,MITF,MYC,NFE2L2,NFKBIA,PARVB,PDX1,PGR,PPARA,PTEN,RB1,RICTOR,TP53	ADD3,ALCAM,ATP6V1F,CLIC1,COX5B,CSNK2B,CSTF3,DYNLT1,EIF3D,EIF3G,ENAH,GNAQ,HSPA2,KYAT3,MACROH2A2,NIT1,NPEPPS,NUDT21,PABPC4,PCMT1,PSMC2,RANBP2,RPS12,SH3GLB1,SNRPD1,TCP1,UBA1	27 (21)	19	SOX2	 	 	 	 	 	 	 	 	
LGR5	transmembrane receptor	 	3	 	 	-1.279	3.05E-05	3.80E-03	Akt,BCL2L11,CTNNB1,EGFR,ERK1/2,ERN1,ESR1,GSK3B,IQGAP1,JUN,LCK,LGR5,LRP6,MAPK1,MTORC1,NFATC2,RAC1,XBP1	ADD3,ALCAM,BID,CASP3,COG7,CPNE1,CSNK2B,ENAH,EPS15,ERLEC1,GNAQ,MBP,MECP2,OAS2,PLS1,PML,RANBP2,S100A6,SCIN,SH3GLB1,TUBA4A,UBA1	22 (18)	15	FGFR2,HDAC1,KDM1A,L1CAM,MGAT5,MYC,TFAP4,TSC2	 	 	SLC22A1	IQGAP1	 	 	 	 	
methylmercury	chemical toxicant	 	3	 	 	0.000	3.05E-05	1.33E-02	AR,ARRB1,ATF6,CASP3,caspase,CAT,CEBPB,ERK1/2,ESR1,GATA1,GSK3B,HIF1A,HSF1,LEP,methylmercury,MKNK1,MYC,NFAT5,NR1I3,P38 MAPK,p70 S6k,PARP1,PGR,PLA2,PLA2G10,PLA2R1,PPARA,PPARGC1A,PTEN,RAF1,RB1,tamoxifen,TCF3,TH	ATP6V1F,CASP3,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSTF3,DFFA,DYNLT1,EIF3D,ENAH,HMGCL,HSPA2,IFT140,IPO5,KYAT3,MANF,MTPN,NIT1,NUCKS1,NUDT21,PABPC4,PCMT1,PLS1,PML,RANBP2,S100A6,SH3GLB1,SNRPD1,TCP1	30 (34)	28	 	 	 	CD47,CDK6,MDM2,MTPN,NOS1	PLA2G4A	 	 	 	 	
SKLB1028	chemical drug	 	3	 	 	-0.707	3.06E-05	1.78E-02	ABL1,APP,CTNNB1,EGFR,ESR1,FOXO3,GSK3B,HIF1A,KLF11,KRAS,MAPK1,NEDD9,NFAT5,ODC1,PGR,SKLB1028,SOCS3,SP1,STAT3,STAT6,TP53,WBP2	ALCAM,CASP3,CLIC1,COG7,CPNE1,CSNK2B,ENAH,EPS15,FAM120A,GNAQ,HADHB,HMGCL,HSPA2,LARS1,MACROH2A2,MANF,MBP,MECP2,NPEPPS,NUCKS1,OAS2,PDAP1,PLS1,RANBP2,RPS12,SCIN,SEPTIN2,SH3GLB1,SPA17,TCP1,TUBA4A,UBA1	32 (22)	20	 	 	 	 	EGFR	 	 	 	 	
DRD3	G-protein coupled receptor	 	3	 	 	0.186	3.07E-05	1.13E-02	ADCY,AKT1,APP,CEBPB,CLOCK,CREBBP,DRD3,EGFR,ERBB2,ERK1/2,FOXO3,GATA1,HSF1,KLF4,MAPK1,MAPK3,MKNK1,MYC,NFE2L2,NR1I3,PGR,POU5F1,PPARA,PPARG,PTEN,RAF1,RET,SOX2,STK11,TP53,XBP1	AKAP9,ATP6V1F,CLIC1,CORO7/CORO7-PAM16,COX5B,CSTF3,DFFA,DYNLT1,EIF3D,EIF3G,EPS15,ERLEC1,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MECP2,MTPN,MYCBP,NPEPPS,NUDT21,OAS2,PML,RPS12,S100A6,SEPTIN2,SNRPD1,TCP1	29 (31)	27	BDNF,pergolide	let-7a-5p (and other miRNAs w/seed GAGGUAG),quetiapine	 	FOS	SLC6A3	 	 	 	 	
SETD6	enzyme	 	3	 	 	-0.180	3.07E-05	2.05E-02	26s Proteasome,CSF2,CTNNB1,CXCL8,ESR1,HIF1A,HNF4A,HSF1,IRF4,MYC,NFkB (complex),PLK1,PPARG,PTEN,SETD6,SP1,STAT4,TP53	ALCAM,BID,COG7,COX5B,CPNE1,CSTF3,EIF3D,EIF3G,ENAH,GNAQ,HMGCL,MACROH2A2,MANF,MECP2,MLF1,MTPN,MYCBP,NPEPPS,NUCKS1,NUDT21,PABPC4,PLS1,PRDX2,PSMC2,RANBP2,RBBP9,RPS12,SCIN,SH3GLB1,SNRPD1,TCP1	31 (18)	16	 	 	 	 	PLK1	 	 	 	 	
IL13RA2	transmembrane receptor	 	3	 	 	-1.029	3.08E-05	2.16E-02	AR,CEBPB,CREBBP,ERK1/2,ESR1,GATA1,HIF1A,IFNG,IL13,IL13RA2,IL4,MAPK1,mir-21,MKNK1,MMP3,MYC,NFE2L2,NR1I3,p70 S6k,PGR,PPARA,PPARG,RAF1,SP1,STAT3,STAT6,TCF3,TGFB1,TNF,TP53	BID,CKAP5,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSTF3,DYNLT1,EIF3D,EIF3G,GNAQ,HMGCL,HSPA2,IPO5,KYAT3,MACROH2A2,MANF,MECP2,MYCBP,NIT1,NPEPPS,NUDT21,OAS2,PABPC4,PCMT1,PLS1,PML,RANBP2,RBM8A,RPS12,S100A6,SEPTIN2,SNRPD1,UBR4	34 (30)	29	carbonyl cyanide m-chlorophenyl hydrazone,MDM2	erlotinib,PTGER4	 	MMP12	 	 	 	 	 	
ILKAP	phosphatase	 	3	 	 	-1.000	3.09E-05	9.70E-03	APP,AR,ATF4,CHUK,CTNNB1,E2F1,ESR1,GSK3B,HSF1,ILK,ILKAP,MAPK1,MITF,MYC,NFE2L2,PDX1,PGR,PPARA,PTEN,RB1,RICTOR,RPS6KA3	ALCAM,ATP6V1F,CLIC1,COG7,COX5B,CPNE1,CSNK2B,CSTF3,EIF3D,EIF3G,ENAH,HSPA2,KYAT3,LARS1,MECP2,NIT1,NUDT21,PABPC4,PCMT1,PLS1,PSMC2,SCIN,SH3GLB1,SNRPD1,TCP1	25 (22)	19	 	 	 	 	 	 	 	 	 	
RASGRP3	other	 	3	 	 	0.174	3.12E-05	2.62E-02	AR,BCL6,CEBPB,CREBBP,CTNNB1,EGFR,ERK1/2,ESR1,GATA1,GSK3B,HIF1A,HRAS,KRAS,MAPK1,MITF,MKNK1,MYC,NFE2L2,NR1I3,p70 S6k,PGR,PIK3CA,PPARA,PPARG,Rap1,RAP2B,RAS,RASGRP3,RASSF5,RB1,SP1,TCF3,TP53	ALCAM,ATP6V1F,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,DYNLT1,EIF3D,EIF3G,EPS15,GNAQ,HMGCL,HSPA2,IPO5,KYAT3,MACROH2A2,MANF,MECP2,MYCBP,NIT1,NPEPPS,NUCKS1,NUDT21,PABPC4,PCMT1,PLS1,PML,PRDX2,RANBP2,RPS12,S100A6,SH3GLB1,TCP1	33 (33)	30	EGF,lenalidomide	KDM1A	 	IgG1,RAP2B	 	 	 	 	 	
raclopride	chemical drug	 	3	 	 	-0.557	3.13E-05	1.55E-02	APP,ARRB1,CEBPB,CREBBP,ESR1,HIF1A,HSF1,KLF4,MAPK1,MAPK3,MKNK1,NFE2L2,NR3C1,p70 S6k,POU5F1,PPARG,PPP1R1B,raclopride,RAF1,RARA,TP53,XBP1	CASP3,CLIC1,COG7,CPNE1,DFFA,DYNLT1,EIF3G,ENAH,ERLEC1,GNAQ,HMGCL,HSPA2,MACROH2A2,MANF,MECP2,MLF1,MYCBP,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PLS1,PML,RANBP2,RPS12,SCIN,SNRPD1,TCP1	29 (22)	20	 	 	 	FOS	BDNF	 	 	 	 	
NR1H2	ligand-dependent nuclear receptor	 	3	 	 	0.000	3.16E-05	1.43E-02	AKT1,APP,BAD,CEBPB,CLOCK,CSF2,E2F1,EGFR,ERBB2,ESR1,FOXO3,GSK3B,HSF1,LPL,MYC,NFE2L2,NR1H2,NR3C1,p70 S6k,PDX1,PGR,PPARA,PPARG,PTEN,RET,SOX2,SP1,TP53	ADD3,AKAP9,CASP3,CLIC1,COG7,COX5B,CPNE1,CSNK2B,CSTF3,DYNLT1,EIF3D,EIF3G,EPS15,HSPA2,KYAT3,LARS1,MACROH2A2,MECP2,MLF1,MTPN,NPEPPS,NUDT21,PABPC4,PLS1,RBBP9,RPS12,SCIN,SEPTIN2,SH3GLB1,TCP1	30 (28)	25	EGF,myristic acid	 	 	ACE,Angiotensin II receptor type 1,RPS14,testosterone	NR1H3,PRDM16,TRH	 	 	 	 	
APEX1	enzyme	0.218	3	 	 	-1.567	3.17E-05	2.49E-02	Ap1,APEX1,c-Src,CREBBP,CSF2,CXCL8,E2F1,EGFR,HIF1A,HSF1,MAPK1,mir-145,MYC,NFKB1,NR3C1,PGR,PPARA,PPARGC1A,PTEN,RARB,SIRT1,SP1,TDG,temozolomide,TP53,XBP1	ADD3,BID,CLIC1,CSTF3,DFFA,EIF3D,ERLEC1,FAM120A,GNAQ,HADHB,HMGCL,HSPA2,KYAT3,MACROH2A2,MANF,MECP2,MLF1,MTPN,MYCBP,NPEPPS,NUCKS1,NUDT21,OAS2,PLS1,PML,PRDX2,RANBP2,RBBP9,RPS12,SNRPD1,TCP1,TUBA4A,UBA1	33 (26)	20	ATF4,BDNF,Cbp/p300,Ck2,gentamicin,Mg2+,MYC,tretinoin	FOXO3,HDAC1,MTA1,PTTG1	 	EGR3,FOS	 	 	 	 	 	
SGPL1	enzyme	0.141	3	 	 	0.522	3.17E-05	2.57E-02	APP,ARRB1,BAD,CASP3,CEBPB,CREBBP,CSF2,EGFR,ESR1,FOXO3,HIF1A,HSF1,IFNA2,IKBKE,IRF3,KLF4,MAPK1,MAPK3,MKNK1,NFE2L2,NR3C1,POU5F1,PPARG,PRKN,PTEN,RAF1,RARA,RUNX2,SGPL1,STAT1,TP53,XBP1	CASP3,CLIC1,COG7,CPNE1,CSNK2B,CSTF3,DFFA,DYNLT1,EIF3G,ENAH,EPS15,ERLEC1,GNAQ,HMGCL,HSPA2,LARS1,MACROH2A2,MANF,MECP2,MLF1,MYCBP,NPEPPS,NUCKS1,NUDT21,PARP4,PLS1,PRDX2,RANBP2,RBBP9,RPS12,SCIN,SNRPD1,TCP1	33 (32)	26	mir-223	IFNG,miR-125b-5p (and other miRNAs w/seed CCCUGAG)	 	CASP7,HSPA5,mir-1	 	 	 	 	 	
RCAN1	transcription regulator	 	3	 	 	0.000	3.19E-05	2.17E-02	26s Proteasome,APP,AR,Calcineurin A,Calcineurin protein(s),CASP3,CEBPB,CSF2,CXCL8,ERK,ESR1,HIF1A,IRF4,Map3k7,MAPK1,mir-21,MKNK1,MYC,MYCN,NFAT (complex),Nfat (family),NFAT5,NFkB (complex),NFKBIA,PPARG,PTEN,RAF1,RCAN1,RET,RUNX2,SOD1,SP1,STAT3,STK11,TAB1,TP53	AKAP9,ATP6V1F,BID,CASP3,CKAP5,CLIC1,COG7,COX5B,CPNE1,CSNK2B,CSTF3,DYNLT1,EIF3D,EIF3G,GNAQ,HSPA2,MACROH2A2,MANF,MECP2,MTPN,NPEPPS,NUDT21,OAS2,PCMT1,PML,PSMC2,RANBP2,RBBP9,RPS12,SCIN,SEPTIN2,SNRPD1,TUBA4A,UBA1	34 (36)	27	ATF6,NFATC2,peroxynitrite,PROK1,vitamin K3	 	 	 	BDNF,FOS	 	 	 	 	
POU5F1	transcription regulator	 	3	 	 	0.365	3.19E-05	1.50E-02	AKT1,APP,CDK1,CDX2,CLOCK,EGFR,ESR1,FOXO3,HIF1A,IRF7,MASTL,NR3C1,POU5F1,PPARG,RB1,RELA,RET,RUNX2,SNAI2,SP1,TP53	ADD3,AKAP9,ATP6V1F,BID,CASP3,CLIC1,COG7,CPNE1,CSNK2B,DFFA,FAM120A,HMGCL,IPO5,LARS1,MACROH2A2,MANF,MECP2,MLF1,MTPN,NIT1,NPEPPS,NUCKS1,NUDT21,OAS2,PLS1,RANBP2,RPS12,SCIN,SH3GLB1,TUBA4A	30 (21)	18	CCNH,CDK7,DPTA-NONOate,EGF,EPAS1,GFER,GMNN,ID1,lithium chloride,MNAT1,mono-(2-ethylhexyl)phthalate,SKP2,SOX2-OCT4,TXN,WWTR1	ESRP1,HDAC1,HSF1,HTATIP2,miR-145-5p (and other miRNAs w/seed UCCAGUU),mir-21,NRBP2,tretinoin,WRN	 	BAG1,BAG3,BAK1,CD27,ECSIT,FGF5,IGF2BP1,KLF2,PYCARD,SNAI2,TP73	CASP7,DAPK1,mir-124,SH3GLB1,TF,TGM1,TNFRSF11B	 	 	 	 	
ISL1	transcription regulator	 	3	 	 	-1.732	3.20E-05	9.00E-03	AR,CHUK,CTNNB1,IL10RA,ISL1,JAK1,JUN,MAPK1,mir-21,MKNK1,MYC,PI3K (complex),RAF1,STAT,STAT3,STAT6	ADD3,ALCAM,BID,CASP3,CKAP5,COX5B,EIF3D,EIF3G,ENAH,GNAQ,HADHB,HSPA2,MBP,MECP2,NUCKS1,NUDT21,OAS2,PCMT1,PLS1,PML,PRDX2,RANBP2,RPS12,SCIN,SEPTIN2,SNRPD1,TUBA4A	27 (16)	14	bexarotene,CDK6,EGF	HES1,SOX2-OCT4-NANOG	 	GAL	DCC	 	 	 	 	
IL25	cytokine	 	3	 	 	0.333	3.24E-05	2.54E-02	APP,AR,ATF6,CEBPB,CSF2,CXCL8,EGFR,ERK1/2,ESR1,FOXO3,GATA1,GATA3,HIF1A,IFNG,IL25,IRF4,Jnk,LEP,MAPK1,MKNK1,MYC,NFAT5,NFkB (complex),NFKB1,NR1I3,P38 MAPK,p70 S6k,PGR,PPARA,PPARGC1A,PRKCE,RAF1,RB1,RELA,RICTOR,RUNX3,SP1,TCF3,TNF,TP53	ATP6V1F,BID,CASP3,CKAP5,CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,DFFA,DYNLT1,EIF3D,EPS15,GNAQ,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MACROH2A2,MANF,MECP2,MTPN,NIT1,NUCKS1,NUDT21,OAS2,PABPC4,PCMT1,PML,PSMC2,RANBP2,RBBP9,RPS12,S100A6,SNRPD1	36 (40)	36	 	 	 	IgG1,JAG1	 	 	 	 	 	
MYC	transcription regulator	 	2	 	 	-0.200	3.25E-05	4.40E-03	ATF4,CCND1,CDK4/6,CTNNB1,F2,mir-22,MYC,NFKBIA,PTEN,RB1,RELA,SP1,STAT3	ADD3,ALCAM,ATP6V1F,CASP3,CLIC1,COX5B,CSTF3,EIF3D,EIF3G,FAM120A,HADHB,LARS1,MBP,MECP2,MYCBP,NIT1,NUDT21,OAS2,PABPC4,PRDX2,RANBP2,RPS12,S100A6,SNRPD1,UBA1	25 (13)	13	1,2-dimethylhydrazine,2-deoxyglucose,26s Proteasome,APLN,AQP7,azoxymethane,cadmium,CCNT1,CDK9,CHEK1,Ck2,Collagen type IV,crocidolite asbestos,EGF,EGFR,EGR3,EPAS1,Esr1-Esr1-estrogen-estrogen,ETV6-RUNX1,gemfibrozil,gentamicin,GPER1,GPR183,GRP,hexachlorobenzene,Ifn gamma,IRF1,IRF5,JAG1,JUP,KDM1A,KDM3A,LEF1,lithium chloride,MAP3K12,Mapk,MGAT5,MKNK1,MNK1/2,MTA1,MTOR,MTPN,MYBL2,NFATC2,PI3K (complex),piperonyl butoxide,pirinixic acid,PTGES3,PTTG1,puromycin aminonucleoside,RABL6,sirolimus,SMARCA4,SN-38,TRRAP,VCP,vinblastine,vitamin K3	4-hydroxytamoxifen,arsenic trioxide,bazedoxifene,BCL6,bilobalide,carvedilol,CD47,CD9,Ciap,CREBBP,cucurbitacin B,E2F4-Smad2/3-Smad4,EP300,FBXW7,fenretinide,fluoxetine,FOXO3,GATA1,GLIPR1,GSK3A,HDAC1,HTATIP2,HUWE1,imatinib,KLF2,lenalidomide,LGH447,lovastatin,MAD1L1,miR-145-5p (and other miRNAs w/seed UCCAGUU),mir-21,MXD1,NCOR2,nicotine,NUMBL,PFDN5,PLA2G4A,PNN,PRKN,PTPN3,rigosertib,RPL23A,SIRT7,Smad,SMARCB1,steroid,STK11,STUB1,TRAF7,trastuzumab,tretinoin,TRIM28,ursolic acid,YAF2,ZBTB33,zerumbone	 	AKAP1,AMP,APEX1,Arf,ATF4,BAG1,BAK1,BMI1,BUB1B,CCNA1,CCND2,CCNE2,CD69,CDK7,CHEK2,CSE1L,Cyclin A,Cyclin D,E2F3,ECSIT,EIF4EBP1,FGF10,FGF5,FUT8,H6PD,HSP90AA1,IL17RB,LGR5,MAPKAPK5,MDM2,mir-19,mir-23,NPM1,NTF4,ODC1,PFKFB3,RFFL,RRP1B,SLC16A3,SOX2,TCF3,TFDP1,TGM1,TXN,WRN,XPO1	ACTB,BDNF,CAST,COL4A2,FOS,glutathione disulfide,HLA-B,Mir122a,b,NDRG1,S100A6,SAT1,TF	 	 	 	 	
vinblastine	chemical drug	 	2	 	 	1.342	3.25E-05	2.00E-03	26s Proteasome,CHUK,ERK1/2,IKBKB,JUN,MAPK1,MYC,NFkB (complex),NFKBIA,RAF1,vinblastine	BID,COX5B,EIF3D,EIF3G,ENAH,HADHB,MBP,MECP2,MLF1,MYCBP,NUDT21,OAS2,PML,PRDX2,PSMC2,RANBP2,RPS12,S100A6,TUBA4A,UBA1	20 (11)	10	 	UGCG	 	BAK1,FBXW7,FOS,MHC Class II (complex),MYC	26s Proteasome	 	 	 	 	
alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid	chemical reagent	 	3	 	 	0.000	3.27E-05	2.82E-02	alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid,Ap1,ARRB1,BAX,CEBPB,CREBBP,CSF2,CXCL8,EGFR,ERK1/2,ESR1,HIF1A,HSF1,IL2,KLF4,MAPK1,MKNK1,NADPH oxidase,NFE2L2,NR3C1,p70 S6k,POU5F1,PPARG,RAF1,RARA,TP53	CASP3,COG7,CPNE1,DFFA,DYNLT1,EIF3G,ENAH,EPS15,GNAQ,HMGCL,HSPA2,MACROH2A2,MANF,MECP2,MLF1,MTPN,MYCBP,NPEPPS,NUCKS1,NUDT21,OAS2,PABPC4,PLS1,PML,PRDX2,RANBP2,RBBP9,RPS12,S100A6,SCIN,SNRPD1,TCP1	32 (26)	23	 	 	 	BDNF	 	 	 	 	 	
IFNAR2	transmembrane receptor	 	3	 	 	-0.962	3.30E-05	1.03E-02	AR,CHUK,CTNNB1,IFNAR2,IL10RA,IL4,JAK1,MAPK1,mir-21,MKNK1,MYC,RAF1,RUNX2,STAT1,STAT3,STAT4,STAT6	ADD3,ALCAM,BID,CASP3,COX5B,CSNK2B,EIF3D,EIF3G,ENAH,GNAQ,HADHB,HSPA2,MECP2,NUCKS1,NUDT21,OAS2,PCMT1,PLS1,PML,RANBP2,RPS12,SCIN,SEPTIN2,SH3GLB1,SNRPD1,TUBA4A,UBR4	27 (17)	16	BAK1,SMARCB1	ETV6-RUNX1,lapatinib/pazopanib	 	IgG1	KLRC4-KLRK1/KLRK1	 	 	 	 	
puerarin	chemical drug	 	3	Inhibited	 	-2.058	3.32E-05	1.99E-02	APP,AR,CEBPB,CSF2,CXCL8,E2F1,EGFR,EGLN,ERN1,ESR1,GSK3B,HIF1A,IRF4,KLF4,MAPK1,MAPK8,MKNK1,MYC,NFkB (complex),PDX1,POU5F1,PPARA,PPARG,puerarin,RAF1,reactive oxygen species,RICTOR,TGFB1,TP53	ATP6V1F,BID,CASP3,CLIC1,COG7,COX5B,CPNE1,CSNK2B,DFFA,DYNLT1,EIF3D,EPS15,ERLEC1,GNAQ,HMGCL,KYAT3,MACROH2A2,MANF,MECP2,MTPN,NIT1,NPEPPS,NUCKS1,NUDT21,OAS2,PCMT1,PLS1,PML,RANBP2,RBBP9,RPS12,SCIN,SH3GLB1,SNRPD1	34 (29)	28	 	 	 	TXN	 	 	 	 	 	
EIF4EBP2	translation regulator	 	3	 	 	1.414	3.33E-05	2.14E-02	Akt,AR,CEBPB,CREBBP,EGFR,EIF4E,EIF4EBP2,ERK1/2,ESR1,FOXO3,HSF1,mir-21,MMP3,MYC,NFAT5,PDX1,POU5F1,PPARGC1A,PTEN,RB1,RICTOR,RPS6KB1,RUNX2,SP1,STAT3,TP53,TSC2	ADD3,BID,CASP3,CKAP5,COG7,CPNE1,CSNK2B,CSTF3,DFFA,DYNLT1,EIF3D,EPS15,HSPA2,KYAT3,LARS1,MACROH2A2,MYCBP,NIT1,NPEPPS,OAS2,PCMT1,PLS1,PML,PSMC2,RBM8A,RPS12,S100A6,SCIN,SEPTIN2,SNRPD1,TCP1,TUBA4A	32 (27)	24	[D-Ala2,N-Me-Phe4,Gly5-ol]-Enkephalin,Mapk,MTOR,tretinoin	miR-145-5p (and other miRNAs w/seed UCCAGUU),sirolimus	 	 	CEBPD,RPS6KB1	 	 	 	 	
FBXW5	other	 	3	 	 	-1.029	3.33E-05	2.26E-02	APP,ATF6,CEBPB,DDIT3,E2F1,EGFR,ESR1,FBXW5,FOXO3,GSK3B,HIF1A,HSF1,LEP,MAP3K7,MAPK1,MAPK8,MAPK9,MKNK1,MYC,NFAT5,NFKBIA,P38 MAPK,p70 S6k,PGR,PPARA,PPARGC1A,RB1,RICTOR,SP1,STAT4,TP53	ATP6V1F,CASP3,CLIC1,COG7,COX5B,CPNE1,DFFA,DYNLT1,EIF3D,EPS15,GNAQ,HMGCL,HSPA2,KYAT3,LARS1,MACROH2A2,MANF,MECP2,MYCBP,NIT1,NUCKS1,NUDT21,OAS2,PABPC4,PLS1,PML,PSMC2,RANBP2,RPS12,SCIN,SH3GLB1,SNRPD1,TCP1,UBA1	34 (31)	29	 	 	 	 	 	 	 	 	 	
PTPRD	phosphatase	 	3	 	 	0.816	3.37E-05	4.30E-03	Akt,AR,CASP8,CHUK,CTNNB1,EGFR,ERK1/2,GSK3B,mir-21,MYC,NFkB (complex),PI3K (complex),PTPRD,PTPRS,STAT3	ALCAM,BID,CASP3,CKAP5,COX5B,EIF3D,EIF3G,ENAH,EPS15,HADHB,NUCKS1,NUDT21,OAS2,PCMT1,PML,PRDX2,RANBP2,RPS12,S100A6,SEPTIN2,SH3GLB1,SNRPD1,TUBA4A,UBA1	24 (15)	13	 	 	 	 	 	 	 	 	 	
fondaparinux	chemical drug	 	3	 	 	-1.633	3.38E-05	4.90E-03	AR,CHUK,CTNNB1,ERK1/2,F10,F2,fondaparinux,GSK3B,JUN,MAPK1,mir-21,MYC,NFKBIA,PI3K (complex),SERPINC1,STAT3	ALCAM,CASP3,CKAP5,CLIC1,COX5B,EIF3D,EIF3G,ENAH,HADHB,MBP,MECP2,NUCKS1,NUDT21,OAS2,PCMT1,PML,PRDX2,RANBP2,RPS12,S100A6,SEPTIN2,SH3GLB1,SNRPD1,UBA1	24 (16)	13	 	 	 	 	F10	 	 	 	 	
dihematoporphyrin ether	chemical drug	 	3	 	 	-0.730	3.39E-05	2.17E-02	AR,ARRB1,BCL6,CEBPB,CREBBP,CTNNB1,dihematoporphyrin ether,E2F1,EGFR,ERK1/2,ESR1,FOXO3,GATA1,GSK3B,HIF1A,MAPK1,MITF,MKNK1,MYC,MYOD1,NFE2L2,NR1I3,PGR,PPARA,PTEN,RAF1,RB1,SP1,TCF3	ALCAM,ATP6V1F,CLIC1,COG7,CORO7/CORO7-PAM16,COX5B,CPNE1,CSTF3,DYNLT1,EIF3D,EIF3G,ENAH,EPS15,HMGCL,HSPA2,IPO5,KYAT3,LARS1,MANF,MECP2,MYCBP,NIT1,NUCKS1,NUDT21,PCMT1,PLS1,RANBP2,S100A6,SH3GLB1,SNRPD1	30 (29)	28	 	 	 	 	 	 	 	 	 	
ADRB1	G-protein coupled receptor	 	3	 	 	-0.539	3.40E-05	7.50E-03	ADCY,ADRB1,APP,AR,ATF4,CaMKII,CASP3,CEBPB,Creb,cyclic AMP,EGFR,ERK,ERK1/2,FOXO3,GATA1,GNAS,HIF1A,HSF1,IFNG,KLF4,KRAS,MAPK1,MKNK1,MYC,NEDD9,NFE2L2,PGR,POU5F1,PPARA,PPARGC1A,PTEN,RB1,STK11,TCF3,WBP2	ATP6V1F,CASP3,CKAP5,CLIC1,COX5B,CSTF3,DFFA,DYNLT1,EIF3D,EIF3G,EPS15,HSPA2,IPO5,KYAT3,LARS1,MANF,MBP,MECP2,NIT1,NUCKS1,NUDT21,OAS2,PCMT1,PDAP1,PML,S100A6,SEPTIN2,SPA17,TCP1,TUBA4A,UBA1	31 (35)	27	(-)-isoproterenol,gentamicin,GRK5	8-chlorophenylthio-adenosine 3',5'-cyclic monophosphate,carvedilol,fluoxetine,testosterone,venlafaxine	 	EGFR	HSPA5	 	 	 	 	
